date,actual_spi1,actual_spi3,actual_spi6
1/1/2017,1.7,1.26,1
2/1/2017,1.5,0.95,0.6
3/1/2017,1.2,0.88,0.4
4/1/2017,1,0.45,0.1
5/1/2017,0.6,0.46,0.2
6/1/2017,0.4,1.96,0
7/1/2017,0.3,0.09,5.5
8/1/2017,0.2,0.26,5.7
9/1/2017,0.3,2.4,-0.1
10/1/2017,0.7,0.58,0.3
11/1/2017,1.6,1.05,0.6
12/1/2017,1.9,1.53,1.2
1/1/2018,1.7,1.24,0.9
2/1/2018,1.4,1.06,0.9
3/1/2018,1.2,0.96,0.3
4/1/2018,1,0.54,0.3
5/1/2018,0.7,0.17,-0.1
6/1/2018,0.3,1.99,0
7/1/2018,0.4,0.39,5.1
8/1/2018,0.2,0.13,5.6
9/1/2018,0.2,2.05,0.3
10/1/2018,0.8,0.19,-0.3
11/1/2018,1.6,1.1,0.7
12/1/2018,1.9,1.55,1.3
1/1/2019,1.7,1.27,1
2/1/2019,1.4,1.1,0.8
3/1/2019,1.2,1.18,0.4
4/1/2019,1.1,0.59,0.3
5/1/2019,0.6,0.5,0.5
6/1/2019,0.2,2.03,-0.2
7/1/2019,0.4,0.39,5.5
8/1/2019,0.1,0.19,5.7
9/1/2019,0.2,2.11,-0.1
10/1/2019,0.9,0.22,-0.1
11/1/2019,1.6,1.23,1.1
12/1/2019,1.9,1.54,1.2
1/1/2020,1,1.26,1
2/1/2020,1.7,0.94,0.6
3/1/2020,1,1.28,0.5
4/1/2020,1.1,0.55,0.3
5/1/2020,0.6,0.65,0.6
6/1/2020,-0.1,2.17,-0.1
7/1/2020,-0.2,0.37,5.7
8/1/2020,0.1,0.23,5.6
9/1/2020,0.3,1.75,-0.4
10/1/2020,1,0.54,0.5
11/1/2020,1.5,1.19,0.8
12/1/2020,1,1.56,1.2
,,1.22,0.9
,,0.87,0.5
,,1.09,0.5
,,1,0.9
,,0.43,0.3
,,1.66,-0.5
,,0.42,5
,,0.02,5
,,1.38,-0.2
,,0.73,0.5
,,1.13,0.8
,,1.25,1.3
,,1.22,0.9
,,1.32,0.7
,,1.5,0.7
,,0.99,0.9
,,0.24,-0.1
,,1,-0.5
,,0.23,5.1
,,-0.02,5.4
,,1.69,0.1
,,0.49,0.3
,,1.25,1.1
,,1.58,1.2
